Algorithm,R2_grouped,R2_grouped_ci,RMSE_grouped,MedFactor_grouped,R2_random,Optimism
Extra trees,-0.5071668915055346,0.40635209026618646,1.2179314376880417,5.118925350331466,0.44843294287299235,0.955599834378527
Random forest,-0.47230851247904704,0.35782593239721333,1.2104304667096208,5.26369058737732,0.44277972519671377,0.9150882376757608
XGBoost,-0.4855959372957123,0.26418853738533926,1.2195141568476584,5.10996036710026,0.4484128112851408,0.9340087485808531
LightGBM,-0.7313396646536166,0.5670336177214554,1.2878632203877964,6.308651813938093,0.45341389289293677,1.1847535575465533
Gradient boosting,-0.21643414403484926,0.17861807765490184,1.1296976483698316,4.751822602941098,0.26799770650008475,0.484431850534934
Regression tree,-0.7669778589959569,0.9154770492328376,1.297924899490119,5.880201563569772,0.26283250451963447,1.0298103635155913
k-NN (distance),-0.709945891894389,0.4381279493132591,1.2877797289167754,6.759866416981842,0.4697392137294306,1.1796851056238196
SVR (RBF),-0.303267421344632,0.24219769986084677,1.154019267733915,5.239111228666478,0.25251179523502315,0.5557792165796551
Neural network (MLP),-0.6848318287731334,0.750407538055985,1.2651564493602159,6.9924341529849885,0.34046264957811345,1.0252944783512468
Gaussian process,-0.634360384457939,0.5483162139288821,1.2367582391208132,6.123021680990894,0.2886646115120327,0.9230249959699717
Ridge,-0.08791188750332309,0.11877259797082236,1.0708473474174547,4.035446229145855,0.11841635302062473,0.20632824052394783
Lasso,-0.18851096518769012,0.1590954038238168,1.1055310193051542,3.7255404160850425,0.05790556150186259,0.24641652668955272
Elastic net,-0.1890239954076131,0.15915638877428206,1.1049999614836752,3.6993706929497536,0.0449595409867922,0.2339835363944053
Multiple linear regression,-0.24877156034797682,0.2578670445294676,1.1489693389917535,4.187531531083229,0.1323014120334789,0.3810729723814557
Stacking ensemble,-0.23118752777274634,0.11524582405805281,1.1317760665975707,3.864945005000471,0.14562378101138637,0.3768113087841327
