Key,Protocol,Features,R2,R2ci,RMSE,RMSEci,MAE,Bias,MedFactor,Within10
P1 Random row-wise|F2 Standard PTF inputs,P1 Random row-wise,F2 Standard PTF inputs,0.13792117334999252,0.013023120647611547,1.039988973584173,0.03186922309866893,0.7206138173198766,-0.00040124038338523044,2.8554379783044417,75.62447090693605
P1 Random row-wise|F3 PTF + physics-guided,P1 Random row-wise,F3 PTF + physics-guided,0.44843294287299235,0.03842472439776464,0.831464248145861,0.04001296821588358,0.5219627499301644,0.0006724050399990036,1.8425516351266578,81.67955302217959
P1 Random row-wise|F4 F3 + measurement metadata,P1 Random row-wise,F4 F3 + measurement metadata,0.5847949288755476,0.06551271614463366,0.720414016260462,0.07033553978315359,0.4422184886620485,0.005082932371611995,1.7533296718477351,86.9893899204244
P2 Grouped by dataset|F2 Standard PTF inputs,P2 Grouped by dataset,F2 Standard PTF inputs,-0.08691556611139946,0.22343113556147637,1.0725465902685756,0.34361410950764437,0.7751592746471319,-0.03163698851750298,3.899273550106321,73.12672837067555
P2 Grouped by dataset|F3 PTF + physics-guided,P2 Grouped by dataset,F3 PTF + physics-guided,-0.5071668915055346,0.40635209026618646,1.2179314376880417,0.25874998403340704,0.9314463383055834,-0.21643359897731881,5.118925350331465,64.20480839776512
P2 Grouped by dataset|F4 F3 + measurement metadata,P2 Grouped by dataset,F4 F3 + measurement metadata,-0.6407822384921797,0.5134535884186263,1.2481131548647066,0.2224655368510048,0.9599392152049306,-0.3599788871653257,5.226652733748198,63.88453072972516
P3 Grouped by country|F2 Standard PTF inputs,P3 Grouped by country,F2 Standard PTF inputs,-0.14723902537825068,0.33568078849096744,1.0794478974722082,0.3638955790494193,0.7870023506366861,-0.05059398826616601,4.076859304211801,72.31313949366688
P3 Grouped by country|F3 PTF + physics-guided,P3 Grouped by country,F3 PTF + physics-guided,-0.7954201270765587,0.5844746856485546,1.2950811807475238,0.29369191786584886,1.0039061549467647,-0.3181414967424085,7.208227389972308,62.484687575965474
P3 Grouped by country|F4 F3 + measurement metadata,P3 Grouped by country,F4 F3 + measurement metadata,-0.7286366943373077,0.6090383108460101,1.2768544287161308,0.3120610048632242,0.9949783776156993,-0.38046959301700717,7.083832476605958,62.636020729327015
P4 Grouped by geo block|F2 Standard PTF inputs,P4 Grouped by geo block,F2 Standard PTF inputs,-0.1193069166516036,0.12616044222247447,1.0629528884831478,0.3324959117320382,0.7779571729605396,-0.043264377943131274,3.7452448281804083,73.33822450476889
P4 Grouped by geo block|F3 PTF + physics-guided,P4 Grouped by geo block,F3 PTF + physics-guided,-0.8767435215198407,1.1691785939715005,1.2462934138425628,0.24236065893379988,0.97351666745243,-0.30593605952119685,7.780604464943584,56.937044979965
P4 Grouped by geo block|F4 F3 + measurement metadata,P4 Grouped by geo block,F4 F3 + measurement metadata,-0.8213825021882432,0.6782524242877296,1.2762075130413197,0.24467578739337822,0.9964167369944334,-0.425472858929241,7.324794493360661,55.33706755460241
